_RAJ2000,_DEJ2000,HField,ID,Field,Pointing,CCD,RAJ2000,DEJ2000,xpos,ypos,Area,FWHM,Stell,ell,amaj,bmin,theta,rk,rf,S/N,PhotFlag,l_F365W,F365W,e_F365W,l_F396W,F396W,e_F396W,l_F427W,F427W,e_F427W,l_F458W,F458W,e_F458W,l_F489W,F489W,e_F489W,l_F520W,F520W,e_F520W,l_F551W,F551W,e_F551W,l_F582W,F582W,e_F582W,l_F613W,F613W,e_F613W,l_F644W,F644W,e_F644W,l_F675W,F675W,e_F675W,l_F706W,F706W,e_F706W,l_F737W,F737W,e_F737W,l_F768W,F768W,e_F768W,l_F799W,F799W,e_F799W,l_F830W,F830W,e_F830W,l_F861W,F861W,e_F861W,l_F892W,F892W,e_F892W,l_F923W,F923W,e_F923W,l_F954W,F954W,e_F954W,l_Jmag,Jmag,e_Jmag,l_Hmag,Hmag,e_Hmag,l_Ksmag,Ksmag,e_Ksmag,F814W,e_F814W,l_F814W3,F814W3,e_F814W3,F814W3c,nfobs,xray,PercW,FSatur,FStellar,FDupDet,zb1,zb1l,zb1u,tb1,Odds1,zml,tml,Chi2,logM*1,BMAG1,BMAGPrior,irmsF365W,irmsF396W,irmsF427W,irmsF458W,irmsF489W,irmsF520W,irmsF551W,irmsF582W,irmsF613W,irmsF644W,irmsF675W,irmsF706W,irmsF737W,irmsF768W,irmsF799W,irmsF830W,irmsF861W,irmsF892W,irmsF923W,irmsF954W,irmsJ,irmsH,irmsKs,irmsF814W,OPTFlag,NIRFlag,CI,cnn,Starflag
37.5561,1.0755,F02P01C01,81421106512,2,1,1,37.5561,1.0755,1482.713,1419.863,1150,11.61,0.03,0.2254,7.193,5.572,8.7,3.5,7.115,412.96,2, ,20.568, 0.064, , 20.477, 0.034, ,20.244, 0.029, ,19.961, 0.023, ,19.657, 0.014, ,19.573, 0.008, ,19.451, 0.006, , 19.423, 0.011, , 19.406, 0.008, , 19.317, 0.016, ,19.215, 0.025, , 19.134, 0.022, ,19.151, 0.024, , 18.951, 0.018, ,18.995, 0.029, ,18.982, 0.022, ,18.911, 0.017, ,18.916, 0.045, ,18.89, 0.067, ,19.01, 0.084, ,18.614, 0.020, ,18.541, 0.032, ,18.488, 0.025,19.005,0.019, ,19.775, 0.005, 19.949,24,0,0.988,0,0.0,0,0.181,0.153,0.183,7.532,0.622,0.181,7.625,0.273,9.766,-19.73,19.005,0.991,0.992,0.995,0.99,0.993,0.992,0.99,0.988,0.993,0.993,0.993,0.997,0.999,0.986,0.996,0.995,0.991,0.995,0.997,0.992,0.944,0.917,0.914,0.994,0,0,2.207,0.030572621151804924,0.0
37.5756,1.0706,F02P01C01,81421106681,2,1,1,37.5756,1.0706,1166.699,1339.653,284,5.16,0.9,0.2203,3.595,2.803,31.4,3.5,3.055,168.1,3, ,24.402, 0.639, , 24.076, 0.300, ,23.284, 0.118, ,22.338, 0.077, ,22.233, 0.058, ,22.067, 0.022, ,21.731, 0.019, , 21.497, 0.019, , 21.330, 0.012, , 21.195, 0.031, ,21.131, 0.045, , 20.970, 0.032, ,20.851, 0.031, , 20.797, 0.030, ,20.724, 0.041, ,20.636, 0.030, ,20.588, 0.019, ,20.587, 0.057, ,20.586, 0.085, ,20.626, 0.111, ,20.356, 0.043, ,20.169, 0.052, ,20.524, 0.093,20.734,0.025, ,20.885, 0.014, 21.075,24,0,0.989,0,0.94,0,0.216,0.184,0.236,3.517,0.582,0.224,4.0,1.564,9.588,-18.074,20.734,1.0,1.0,0.972,1.0,1.0,1.0,1.0,1.0,0.983,0.983,1.0,0.99,0.994,0.994,1.0,1.0,0.999,0.987,0.989,0.993,0.96,0.925,0.949,0.996,0,0,1.01,0.9987120628356931,0.94
37.5692,1.0724,F02P01C01,81421106699,2,1,1,37.5692,1.0724,1270.558,1369.811,43,8.47,0.29,0.2055,2.146,1.705,-46.6,7.41,8.442,17.03,1, ,23.211, 0.323, , 23.116, 0.174, ,23.3, 0.090, ,23.216, 0.206, ,23.176, 0.180, ,23.064, 0.052, ,23.287, 0.079, , 23.099, 0.071, , 23.187, 0.054, , 23.206, 0.183, ,23.06, 0.206, , 23.110, 0.198, ,22.879, 0.184, , 22.947, 0.190, ,23.148, 0.275, ,22.719, 0.174, ,23.367, 0.150, ,22.701, 0.352, ,23.705, 1.103,<,22.91,      , ,22.158, 0.265, ,22.323, 0.399, ,23.465, 1.655,23.026,0.158, ,23.94, 0.149, 24.044,23,0,1.0,0,0.5,0,1.692,1.52,1.922,9.512,0.131,1.6,9.625,0.568,10.033,-21.765,23.026,1.0,1.0,1.0,1.0,0.989,1.0,0.978,0.934,1.0,1.0,1.0,1.0,1.0,1.0,0.996,1.0,1.0,1.0,1.0,0.966,0.938,0.95,0.945,0.997,0,0,2.404,-1.0,0.5
37.5829,1.0641,F02P01C01,81421106875,2,1,1,37.5829,1.0641,1048.191,1235.25,3663,5.4,1.0,0.0303,4.394,4.261,23.6,3.5,3.094,13881.89,0, ,16.654, 0.006, , 16.293, 0.002, ,15.75, 0.004, ,15.409, 0.001, ,15.358, 0.001, ,15.44, 0.001, ,15.352, 0.001, , 15.377, 0.002, , 15.303, 0.002, , 15.214, 0.001, ,15.018, 0.001, , 14.936, 0.002, ,14.963, 0.002, , 14.960, 0.002, ,14.845, 0.002, ,14.82, 0.001, ,14.901, 0.003, ,14.841, 0.004, ,14.793, 0.006, ,14.933, 0.006, ,14.769, 0.001, ,14.998, 0.003, ,15.367, 0.001,14.906,0.001, ,15.037, 0.000, 15.222,24,0,0.99,1,1.0,0,0.099,0.081,0.099,7.831,0.712,0.101,8.0,1.971,10.802,-22.429,14.906,0.993,0.996,0.981,0.998,0.996,0.996,0.995,0.997,0.999,0.999,0.994,0.995,0.996,0.994,0.995,0.995,0.994,0.997,0.996,0.996,0.965,0.923,0.968,0.995,0,0,92.093,0.8939723372459412,1.0
37.5778,1.0586,F02P01C01,81421107132,2,1,1,37.5778,1.0586,1130.795,1145.4,40,8.67,0.45,0.3382,2.377,1.573,-7.0,3.69,3.144,15.31,0, ,24.591, 0.366, , 24.381, 0.183, ,23.817, 0.066, ,23.971, 0.147, ,23.9, 0.116, ,23.991, 0.051, ,23.742, 0.053, , 23.911, 0.064, , 23.757, 0.040, , 23.758, 0.114, ,23.837, 0.153, , 23.829, 0.132, ,23.776, 0.149, , 23.911, 0.183, ,24.002, 0.225, ,24.119, 0.253, ,23.459, 0.070, ,23.918, 0.434, ,23.742, 0.476,<,22.91,      , ,23.579, 0.373, ,23.188, 0.361, ,23.478, 0.646,23.82,0.126, ,23.919, 0.147, 24.023,23,0,0.942,0,0.5,0,2.211,2.068,2.364,9.27,0.265,2.29,9.375,0.723,10.061,-21.686,23.82,1.0,0.976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.943,0.994,0.973,1.0,0.991,0.993,0.978,0.979,0.912,0.947,0.984,0,0,1.222,-1.0,0.5
37.5886,1.0438,F02P01C01,81421107594,2,1,1,37.5886,1.0438,955.486,905.47,50,6.63,0.67,0.082,1.963,1.802,8.1,4.59,2.857,16.4,0, ,25.99, 1.341,<, 26.080,      , ,26.38, 0.601,<,26.01,      , ,25.147, 0.350, ,24.861, 0.108, ,24.357, 0.087, , 23.923, 0.065, , 24.393, 0.066, , 24.049, 0.148, ,23.914, 0.180, , 23.696, 0.129, ,23.786, 0.154, , 23.555, 0.135, ,23.84, 0.208, ,23.535, 0.147, ,23.424, 0.064, ,23.326, 0.247, ,23.138, 0.287, ,22.976, 0.412, ,23.071, 0.247, ,22.758, 0.232,<,23.34,      ,23.535,0.098, ,23.617, 0.117, 23.730,21,0,0.964,0,0.5,0,0.204,0.191,0.231,3.447,0.606,0.202,2.0,0.914,8.417,-15.134,23.535,1.0,1.0,0.959,1.0,1.0,1.0,1.0,0.991,1.0,1.0,1.0,1.0,1.0,0.952,1.0,0.995,0.994,1.0,1.0,0.947,0.941,0.919,0.949,0.989,0,0,1.103,-1.0,0.5
36.8955,1.2196,F02P01C02,81421202434,2,1,2,36.8955,1.2196,4442.538,3782.154,206,10.7,0.03,0.0269,3.677,3.578,-34.7,4.21,5.531,62.79,3, ,24.778, 1.434, , 23.262, 0.303, ,23.07, 0.077, ,22.888, 0.257, ,22.922, 0.184, ,22.828, 0.174, ,22.674, 0.201, , 22.442, 0.170, ,22.303, 0.040, ,22.024, 0.123, ,21.787, 0.069, ,21.919, 0.092, ,21.665, 0.086, ,       ,      , ,21.528, 0.070, ,21.516, 0.074, ,21.428, 0.039, ,21.434, 0.075, ,20.957, 0.133, ,21.261, 0.228, ,21.17, 0.079, ,21.264, 0.144, ,21.268, 0.087,21.686,0.042, ,22.156, 0.044, 22.327,22,0,0.953,0,0.0,0,0.6,0.275,0.629,7.685,0.375,0.6,7.75,1.332,9.879,-20.066,21.686,0.941,0.572,1.0,1.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,0.995,0.0,0.994,0.997,0.999,1.0,0.993,0.999,0.976,0.939,0.938,0.92,2,0,2.009,-1.0,0.0
36.9041,1.2128,F02P01C02,81421202693,2,1,2,36.9041,1.2128,4302.967,3671.853,177,6.25,0.04,0.1301,3.182,2.768,20.2,3.73,3.474,58.31,2, ,23.249, 0.225, , 22.694, 0.099, ,23.096, 0.040, ,22.776, 0.108, ,22.641, 0.066, ,22.46, 0.056, ,22.436, 0.075, , 22.329, 0.068, ,22.151, 0.019, ,22.123, 0.072, ,22.116, 0.058, ,22.154, 0.060, ,22.044, 0.069, , 22.016, 0.088, ,21.992, 0.063, ,21.739, 0.055, ,21.82, 0.032, ,21.884, 0.070, ,21.93, 0.196, ,21.907, 0.281, ,21.721, 0.094, ,21.651, 0.155, ,21.76, 0.105,21.938,0.038, ,22.093, 0.039, 22.264,24,0,0.987,0,0.07,0,0.257,0.252,0.266,8.334,0.914,0.257,8.375,0.457,8.791,-17.86,21.938,0.842,0.797,1.0,0.979,0.986,0.996,0.968,0.978,0.97,0.97,0.999,0.994,0.979,0.72,0.998,0.994,0.989,0.991,0.986,1.0,0.972,0.961,0.953,0.957,2,0,2.667,0.11084397882223128,0.07
36.8999,1.2102,F02P01C02,81421202815,2,1,2,36.8999,1.2102,4370.267,3630.359,77,7.62,0.3,0.2373,2.583,1.97,6.8,3.5,2.962,23.58,2, ,24.687, 0.508, , 25.330, 0.751, ,24.834, 0.111, ,24.836, 0.412, ,24.505, 0.220, ,24.289, 0.179, ,24.37, 0.273, , 24.541, 0.319, ,24.103, 0.064, ,23.75, 0.167, ,23.592, 0.126, ,23.469, 0.116, ,23.659, 0.165, ,       ,      , ,23.302, 0.121, ,23.248, 0.128, ,23.058, 0.054, ,22.905, 0.107, ,23.394, 0.402, ,24.231, 1.412, ,23.117, 0.220, ,22.66, 0.254, ,22.497, 0.134,23.266,0.07, ,23.276, 0.093, 23.405,23,0,0.99,0,0.5,0,0.721,0.688,0.757,7.79,0.337,0.688,7.75,0.392,9.411,-18.95,23.266,1.0,0.572,1.0,0.983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.423,1.0,0.997,0.991,1.0,0.995,0.999,0.977,0.978,0.939,0.936,2,0,1.78,-1.0,0.5
36.8944,1.2102,F02P01C02,81421202826,2,1,2,36.8944,1.2102,4460.353,3629.515,50,5.26,0.98,0.1418,1.904,1.634,6.1,3.5,2.314,22.3,0,<,25.41,      ,<, 26.260,      ,<,27.4,      ,<,25.9,      , ,25.931, 0.763, ,25.82, 0.704, ,25.023, 0.468, , 25.128, 0.531, ,24.849, 0.115, ,24.405, 0.251, ,24.575, 0.252, ,24.186, 0.193, ,23.694, 0.140, ,       ,      , ,23.403, 0.110, ,23.094, 0.092, ,23.213, 0.050, ,23.021, 0.098, ,23.076, 0.260, ,22.971, 0.361, ,22.599, 0.104, ,22.722, 0.202, ,23.378, 0.239,23.532,0.069, ,23.511, 0.121, 23.627,18,0,0.955,0,0.5,0,0.556,0.532,0.601,3.607,0.537,4.798,9.125,1.767,9.495,-17.843,23.532,1.0,0.572,1.0,1.0,0.984,0.952,1.0,0.938,1.0,1.0,1.0,0.963,0.981,0.0,0.939,0.96,0.951,1.0,0.897,0.987,0.989,0.951,0.972,0.885,2,0,0.978,-1.0,0.5
